major_code,major_name,degree_level,discipline,major_category,replace_rate,job_count,confidence,matched_job_titles_sample
010102,逻辑学,本科（普通教育）,哲学,哲学类,0.0,0,low,
010103,宗教学,本科（普通教育）,哲学,哲学类,0.0,0,low,
020104,资源与环境经济学,本科（普通教育）,经济学,经济学类,0.0,0,low,
020105,商务经济学,本科（普通教育）,经济学,经济学类,0.0,0,low,
020106,能源经济,本科（普通教育）,经济学,经济学类,0.0,0,low,
020303,保险学,本科（普通教育）,经济学,金融学类,0.0,0,low,
020304,投资学,本科（普通教育）,经济学,金融学类,0.0,0,low,
020401,国际经济与贸易,本科（普通教育）,经济学,经济与贸易类,0.0,0,low,
020402,贸易经济,本科（普通教育）,经济学,经济与贸易类,0.0,0,low,
030104,信用风险管理与法律防控,本科（普通教育）,法学,法学类,0.0,0,low,
030106,司法警察学,本科（普通教育）,法学,法学类,0.0,0,low,
030108,纪检监察,本科（普通教育）,法学,法学类,0.0,0,low,
030110,司法鉴定学,本科（普通教育）,法学,法学类,0.0,0,low,
030111,国家安全学,本科（普通教育）,法学,法学类,0.0,0,low,
030201,政治学与行政学,本科（普通教育）,法学,政治学类,0.0,0,low,
030202,国际政治,本科（普通教育）,法学,政治学类,0.0,0,low,
030203,外交学,本科（普通教育）,法学,政治学类,0.0,0,low,
030204,国际事务与国际关系,本科（普通教育）,法学,政治学类,0.0,0,low,
030301,社会学,本科（普通教育）,法学,社会学类,0.0,0,low,
030302,社会工作,本科（普通教育）,法学,社会学类,0.0,0,low,
030303,人类学,本科（普通教育）,法学,社会学类,0.0,0,low,
030304,女性学,本科（普通教育）,法学,社会学类,0.0,0,low,
030306,老年学,本科（普通教育）,法学,社会学类,0.0,0,low,
030307,社会政策,本科（普通教育）,法学,社会学类,0.0,0,low,
030503,思想政治教育,本科（普通教育）,法学,马克思主义理论类,0.0,0,low,
030601,治安学,本科（普通教育）,法学,公安学类,0.0,0,low,
030604,禁毒学,本科（普通教育）,法学,公安学类,0.0,0,low,
030606,经济犯罪侦查,本科（普通教育）,法学,公安学类,0.0,0,low,
030607,边防指挥,本科（普通教育）,法学,公安学类,0.0,0,low,
030610,公安情报学,本科（普通教育）,法学,公安学类,0.0,0,low,
030611,犯罪学,本科（普通教育）,法学,公安学类,0.0,0,low,
030613,涉外警务,本科（普通教育）,法学,公安学类,0.0,0,low,
030614,国内安全保卫,本科（普通教育）,法学,公安学类,0.0,0,low,
030615,警务指挥与战术,本科（普通教育）,法学,公安学类,0.0,0,low,
030617,海警执法,本科（普通教育）,法学,公安学类,0.0,0,low,
030618,公安政治工作,本科（普通教育）,法学,公安学类,0.0,0,low,
030621,反恐警务,本科（普通教育）,法学,公安学类,0.0,0,low,
030623,铁路警务,本科（普通教育）,法学,公安学类,0.0,0,low,
040102,科学教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040103,人文教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040104,教育技术学,本科（普通教育）,教育学,教育学类,0.0,0,low,
040105,艺术教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040106,学前教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040107,小学教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040108,特殊教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040109,华文教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040111,卫生教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040113,融合教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040114,劳动教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040115,家庭教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040116,孤独症儿童教育,本科（普通教育）,教育学,教育学类,0.0,0,low,
040201,体育教育,本科（普通教育）,教育学,体育学类,0.0,0,low,
040202,运动训练,本科（普通教育）,教育学,体育学类,0.0,0,low,
040203,社会体育指导与管理,本科（普通教育）,教育学,体育学类,0.0,0,low,
040204,武术与民族传统体育,本科（普通教育）,教育学,体育学类,0.0,0,low,
040205,运动人体科学,本科（普通教育）,教育学,体育学类,0.0,0,low,
040206,运动康复,本科（普通教育）,教育学,体育学类,0.0,0,low,
040207,休闲体育,本科（普通教育）,教育学,体育学类,0.0,0,low,
040208,体能训练,本科（普通教育）,教育学,体育学类,0.0,0,low,
040209,冰雪运动,本科（普通教育）,教育学,体育学类,0.0,0,low,
040210,电子竞技运动与管理,本科（普通教育）,教育学,体育学类,0.0,0,low,
040211,智能体育工程,本科（普通教育）,教育学,体育学类,0.0,0,low,
040212,体育旅游,本科（普通教育）,教育学,体育学类,0.0,0,low,
040213,运动能力开发,本科（普通教育）,教育学,体育学类,0.0,0,low,
040214,足球运动,本科（普通教育）,教育学,体育学类,0.0,0,low,
040215,马术运动与管理,本科（普通教育）,教育学,体育学类,0.0,0,low,
040216,体育康养,本科（普通教育）,教育学,体育学类,0.0,0,low,
040217,航空运动,本科（普通教育）,教育学,体育学类,0.0,0,low,
050101,汉语言文学,本科（普通教育）,文学,中国语言文学类,0.0,0,low,
050104,中国少数民族语言文学,本科（普通教育）,文学,中国语言文学类,0.0,0,low,
050107,秘书学,本科（普通教育）,文学,中国语言文学类,0.0,0,low,
050202,俄语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050203,德语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050204,法语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050205,西班牙语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050206,阿拉伯语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050207,日语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050209,朝鲜语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050212,印度尼西亚语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050213,印地语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050214,柬埔寨语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050216,缅甸语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050217,马来语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050220,泰语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050223,越南语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050232,葡萄牙语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050261,翻译,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050262,商务英语,本科（普通教育）,文学,外国语言文学类,0.0,0,low,
050302,广播电视学,本科（普通教育）,文学,新闻传播学类,0.0,0,low,
050303,广告学,本科（普通教育）,文学,新闻传播学类,0.0,0,low,
050304,传播学,本科（普通教育）,文学,新闻传播学类,0.0,0,low,
050305,编辑出版学,本科（普通教育）,文学,新闻传播学类,0.0,0,low,
060101,历史学,本科（普通教育）,历史学,历史学类,0.0,0,low,
060102,世界史,本科（普通教育）,历史学,历史学类,0.0,0,low,
060105,文物保护技术,本科（普通教育）,历史学,历史学类,0.0,0,low,
