major_code,major_name,degree_level,discipline,major_category,replace_rate,job_count,confidence,zero_reason,matched_job_titles_sample
010102,逻辑学,本科（普通教育）,哲学,哲学类,0.0,0,low,no_job_match,
010103,宗教学,本科（普通教育）,哲学,哲学类,0.0,0,low,no_job_match,
020104,资源与环境经济学,本科（普通教育）,经济学,经济学类,0.0,0,low,no_job_match,
020105,商务经济学,本科（普通教育）,经济学,经济学类,0.0,0,low,no_job_match,
020106,能源经济,本科（普通教育）,经济学,经济学类,0.0,0,low,no_job_match,
020303,保险学,本科（普通教育）,经济学,金融学类,0.0,0,low,no_job_match,
020304,投资学,本科（普通教育）,经济学,金融学类,0.0,0,low,no_job_match,
020401,国际经济与贸易,本科（普通教育）,经济学,经济与贸易类,0.0,0,low,no_job_match,
020402,贸易经济,本科（普通教育）,经济学,经济与贸易类,0.0,0,low,no_job_match,
020403,国际经济发展合作,本科（普通教育）,经济学,经济与贸易类,0.0,0,low,no_job_match,
030201,政治学与行政学,本科（普通教育）,法学,政治学类,0.0,0,low,no_job_match,
030202,国际政治,本科（普通教育）,法学,政治学类,0.0,0,low,no_job_match,
030203,外交学,本科（普通教育）,法学,政治学类,0.0,0,low,no_job_match,
030204,国际事务与国际关系,本科（普通教育）,法学,政治学类,0.0,0,low,no_job_match,
030301,社会学,本科（普通教育）,法学,社会学类,0.0,0,low,no_job_match,
030302,社会工作,本科（普通教育）,法学,社会学类,0.0,0,low,no_job_match,
030303,人类学,本科（普通教育）,法学,社会学类,0.0,0,low,no_job_match,
030304,女性学,本科（普通教育）,法学,社会学类,0.0,0,low,no_job_match,
030503,思想政治教育,本科（普通教育）,法学,马克思主义理论类,0.0,0,low,no_job_match,
030601,治安学,本科（普通教育）,法学,公安学类,0.0,0,low,no_job_match,
030604,禁毒学,本科（普通教育）,法学,公安学类,0.0,0,low,no_job_match,
030606,经济犯罪侦查,本科（普通教育）,法学,公安学类,0.0,0,low,no_job_match,
030610,公安情报学,本科（普通教育）,法学,公安学类,0.0,0,low,no_job_match,
