major_code,major_name,degree_level,discipline,major_category,replace_rate,job_count,confidence,zero_reason,matched_job_titles_sample
082904,安全生产监管,本科（普通教育）,工学,安全科学与工程类,0.0,0,low,no_job_match,
082905,智慧应急,本科（普通教育）,工学,安全科学与工程类,0.0,0,low,no_job_match,
083107,火灾勘查,本科（普通教育）,工学,公安技术类,0.0,0,low,no_job_match,
090302,蚕学,本科（普通教育）,农学,动物生产类,0.0,0,low,no_job_match,
090303,蜂学,本科（普通教育）,农学,动物生产类,0.0,0,low,no_job_match,
130201,音乐表演,本科（普通教育）,艺术学,戏剧与影视学类,0.0,0,low,no_job_match,
130204,舞蹈表演,本科（普通教育）,艺术学,戏剧与影视学类,0.0,0,low,no_job_match,
130205,舞蹈学,本科（普通教育）,艺术学,戏剧与影视学类,0.0,0,low,no_job_match,
130403,雕塑,本科（普通教育）,艺术学,美术学类,0.0,0,low,no_job_match,
130405,书法学,本科（普通教育）,艺术学,美术学类,0.0,0,low,no_job_match,
130406,中国画,本科（普通教育）,艺术学,美术学类,0.0,0,low,no_job_match,
